Table 377. Normal Daily Mean Temperature -- Selected Cities,,,,,,,,,,,,,
,,,,,,,,,,,,,
[See notes],,,,,,,,,,,,,
,,,,,,,,,,,,,
STATE,POST OFFICE ABBREVIATION,5-DIGIT FIPS CODE,2-DIGIT FIPS CODE,,    Daily mean temperature,,,    Daily maximum temperature,,,    Daily minimum temperature,,
Texas ,TX,48000,48,Dallas-Fort Worth,44.1,85,65.5,54.1,95.4,75.8,34,74.6,55.1
,,,,El Paso,45.1,83.3,64.7,57.2,94.5,77.1,32.9,72,52.1
,,,,Houston,51.8,83.6,68.8,62.3,93.6,79.4,41.2,73.5,58.2
Utah ,UT,49000,49,Salt Lake City,29.2,77,52,37,90.6,62.9,21.3,63.4,41.2
Vermont ,VT,50000,50,Burlington,18,70.6,45.2,26.7,81.4,54.5,9.3,59.8,35.8
Virginia ,VA,51000,51,Norfolk,40.1,79.1,59.6,47.8,86.8,67.8,32.3,71.4,51.4
,,,,Richmond,36.4,77.9,57.6,45.3,87.5,67.8,27.6,68.3,47.4
Washington ,WA,53000,53,Seattle-Tacoma,40.9,65.3,52.3,45.8,75.3,59.8,35.9,55.3,44.8
,,,,Spokane,27.3,68.6,47.3,32.8,82.5,57.4,21.7,54.6,37.2
West Virginia ,WV,54000,54,Charleston,33.4,73.9,54.5,42.6,84.9,65.4,24.2,62.9,43.5
Wisconsin ,WI,55000,55,Milwaukee,20.7,72,47.5,28,81.1,55.9,13.4,62.9,39.2
Wyoming ,WY,56000,56,Cheyenne,25.9,67.7,45,37.1,81.9,57.6,14.8,53.4,32.3
Puerto Rico,PR,72000,72,San Juan,76.6,82.2,79.9,82.4,87.4,85.5,70.8,76.9,74.2
,,,,,,,,,,,,,
"Source: U.S. National Oceanic and Atmospheric Administration,",,,,,,,,,,,,,
"National Environmental Satellite, Data, and Information Services (NESDIS), ",,,,,,,,,,,,,
"National Climatic Data Center (NCDC), Temperature Extremes and Drought.",,,,,,,,,,,,,
